,text,label
22588,До Ютуба далековато . Как удалить историю просмотров.,нейтральная
15349,не нашел возможности скачать видеофайл на внешнее устройство для дальнейшего просмотра его например в автомобиле.,негативная
4390,Быстро,позитивная
21792,"Не работает поиск, ничего не находит.",негативная
19234,"Чтобы был аккаунт на ТВ надо пройти квест! Напрямую нет возможности, нужен зарегистрированный аккаунт, со смартфона на сайте не смог зарегистрироваться, пришлось скачать приложение, в приложении нет подключения дополнительных устройств, пошёл на сайт, автоматом перебрасывает в приложении, пришлось его удалить и только тогда подключился ТВ!!! И это только подключение аккаунта! Посмотрим что будет дальше...",негативная
7262,скучно,негативная
14237,именно это видео я искала,позитивная
7892,хз чего нибудь ,нейтральная
4567,Всё отлично👍👏😆,позитивная
41,Могли бы сделать отправку смс автоматом при входе через вк,негативная
2,Видео  нет,негативная
18355,В приложении невозможно отредактировать свой комментарий и лайкнуть понравившийся.,негативная
3145,быстро,позитивная
18346,Очень запутаннный интерфейс! Чтобы что-то найти надо изголиться!,негативная
12510,"При выходе из браузера, сохраняется время и серия, где закончил смотреть, реклама без звука, ",позитивная
15691,показатель статистики в реальном времени,нейтральная
5731,Не нашла,негативная
14994,политика,мусор
28461,"Если просмотрел пол видео и поставил на паузу, то все больше его не загрузишь дальше. Или просто само по себе на середине видео начинается бесконечная загрузка, которая никогда не загрузится, надо выходить, искать заново и может быть повезет в загрузке.",негативная
27443,Который раз скачиваю рутуб он зависает ничего не загружает интернет работает а приложение не работает,негативная
27495,Что стало с приложением ? Вообще никак не работает,негативная
24782,А монетизация есть?,нейтральная
14108,Всё хорошо ,позитивная
28467,"Не знаю как можно умудриться написать настолько лагающее приложение, то видео не воспроизводится, то логинишься, а он не логинится, на все один и тот де ответ поддержки: удалите и установите заново. Очень хочется удалить и не устанавливать заново.",негативная
20057,"Очень плохо, видео тупит, ужасная оптимизация, все плохо, такими темпами это не когда не станет заменой Ютуб.",негативная
25106,"фиг знает где смотреть просмотры и лайки, продвижение в целом.",негативная
22506,Зачётный самокат!,мусор
7560,"Поиск сделайте  нормальным, одно видео выдали, а остальные 9где? ",негативная
14880,квн,мусор
12628,Приятно послушать умного человека,мусор
25494,Почему ваше приложение не позволяет пользоваться им если не установить очередное обновление ? Которое навязывают пользователям.,негативная
24392,"Не регистрируется по номеру телефона ?‍♂️полный отстой! Только через почту, а туда код не приходит...отстой конченный!!! Код не приходит на элпочту, даунское понятие регистрации ?",негативная
27056,Отличное приложение. Много фильмов и различных телепрограмм.,позитивная
903,Убрать регистрацию по номеру телефона,негативная
10096,поиск,мусор
22159,"Зачем в фоне при сворачивании окна всплывающее окно , закрывающее текст, прыгающее туда-сюда, уберите его немедленно и оставьте только звук в фоне!!! Всем нужно именно это музыку слушать!!!!!!!!! Настроек Картинка в Картинке нет.",негативная
24068,"Ребята, разработчики. Слезно вас просит все российское интернет сообщество. Сделайте, пожалуйста, количество просмотров. Сделайте, пожалуйста, сортировку по популярным комментариям. Сделайте, пожалуйста, ветки комментариев с ответами. Лайки дизлайки. Это же так просто, все будут довольны.",негативная
824,НОМЕР ПО КОРОЧЕ,негативная
10313,всё,мусор
17221,Ужасно . Постаяно вылетает приложение заходишь на вилио которое смотрел продолжается не где ты остановился а намного раньше,негативная
26473,"На самом деле очень полюбилось это приложение. Rutube стал мне заменой обычного телевизора, можно спокойно смотреть любимые передачи прямо с телефона. Удивительно, что есть все, даже мои любимые шортсы)",позитивная
23844,"Бесполезное приложение, фильмы и сериалы российские даже нельзя посмотреть бесплатно, ужасно просто, только ненужные телепроекты показывают",негативная
14448,всё супер,позитивная
11057,Поменьше рекламы,негативная
33,ниче не грузит че за фигня на телефоне грузит а на ноуте нет идите в попу,негативная
14889,качество и быстрое воспроизведение и много интересного видио,позитивная
6814,"все замерло
",негативная
12161,Все отлично ,позитивная
11410,всё оперативно,позитивная
6924,"алгоритмы
Просто скопируйте ютьюб большего не надо",негативная
17763,"Уже 3 минуты грузит видео и ни чего не происходит, какой ужас!!! С интернетом всё в порядке!!!",негативная
28710,"Удобное приложение. Но хотелось бы лучшего, возможно вам покажется интересным. В iPhone YouTube  при полноэкранном режиме свайп сверху вниз переводит в обычный (у вас только из обычного просмотра к списку). Отдельно в андроид версии YouTube есть свайп начиная с левой границы к правой что означает назад, полноэкранное видео переключает в обычное, обычное возвращает к списку видео.",нейтральная
6478,Поиск невменяемый,негативная
8108,Хорошо,позитивная
5434,Написать количество продуктов,мусор
1167,...,мусор
22619,"Прекрасное приложе, зделайте что бы можно было чистить историю поиска и просмотров на телефоне",нейтральная
23521,"На телефоне все хорошо , а вот на смарт тв все плачевно видео не грузятся это кошмар . Связь вай-фай хорошая, кеш чистили, даже приложение переустанавливали. Всё бесполезно . Начинаешь смотреть 2 минуты и выкидывает с видео заново заходишь и по-новой 2 минуты и опять вылет.",негативная
7538,не понятный интерфейс,негативная
446,🤔,мусор
7197,добавить клаву в поиск,негативная
18397,"Просто ужас. Не чего не ищет по конкретному запросу, нереально смотреть даже на 240р не прогружает",негативная
4819,Быстрота,позитивная
21860,Лучшеп вы просто взяли ютуб и назвали RUTUBE была бы не так кренжова.,негативная
7870,"не привычно нет а4 
",негативная
4199,Все,мусор
3647,Быстро и удобно.,позитивная
23478,"Почему так стали тормозить видео? Невозможно смотреть! С интернетом всё в порядке, другие приложения работают отлично!",негативная
11505,качество и быстрое время выставления новых выпусков + плеер запоминает на каком времени остановились,позитивная
5908,не все серии сериалов,негативная
15658,всё под рукой-удобно,позитивная
8509,все,мусор
676,Просто зайти и смотреть,нейтральная
24583,А куда делась РТР? Печаль,нейтральная
4201,Быстро ,позитивная
8974,Все,мусор
3068,Просто и быстро,позитивная
28303,"Отличное приложение! Единственное чего мне не хватает: возможности сохранить плейлист для быстрого доступа к нему, и продолжать просмотр с того видеоролика на котором в прошлый раз остановилась. Когда в плейлисте 650+ роликов, очень долго сначала искать его на канале, а потом листать каждый раз до нужного видео. Надеюсь разработчики добавят такую функцию в ближайшее время ❤️",нейтральная
20736,"Ужасно просто. UPD. Смотрю на андроид тв, косяков много, но упомяну самый главный: при стабильном интернет соединении наблюдаются жуткие подтормаживания, даже в низком разрешении, что делает посмотр видео не ""смотрибельным"". В прочем, в других отзывах об этом Вам уже писали.",негативная
11090,часто сбрасывается вход в учётную запись.,негативная
2712,скорость,мусор
24012,"Я только начал пользоваться. Потому,что не доверяю Америке.",нейтральная
3003,Класм,позитивная
9593,Нет полноценной возможности работать как автору,негативная
28832,Ну не умеют в России нечего делать. Реально много багов,негативная
8743,"Пушка бомба круто вообщем
",позитивная
19527,После обновления всё стало хуже,негативная
14453,Чувство юмора и подача новостей ,мусор
8908,Не знаю ,нейтральная
19983,"Уже почти можно пользоваться, осталось что-то сделать с поиском — он просто неадекватен. Находит что угодно кроме запрошенных слов. Даже Яндекс чуть лучше, а сделать хуже яндекса это надо постараться. Ребята, ну поднажмите, ну доделайте пожалуйста, ну невозможно же",нейтральная
20707,Всё отлично!,позитивная
22628,"У меня с использованием приложения проблем нет, с воспроизведением тоже, но бывает, когда мини-экран закрываю, открываю приложение, то видео закрывается совсем, и приходится снова искать его в поиске. Хотелось бы видеть в функциях лайки и дизлайки для видео и для комментариев. Нравится функция выноса мини-экрана, так как в основном смотрю большие видео на фоне или подкасты, поэтому хочется дождаться усовершенствования функции, спасибо!",нейтральная
1450,Всё ок,нейтральная
3272,Быстро и просто,позитивная
15089,я не знаю эти передачи,негативная
13401,Ничем,нейтральная
28387,Лучшее приложение для просмотров подобных роликов. Обновление кстати понравилось,позитивная
20602,Больше 100 плейлистов добавьте пожалуйста,негативная
16726,"Очень нравится приложение,",позитивная
507,Всё отлично,позитивная
8583,всё нравиться спасибо,позитивная
23272,Не знаю как у других у меня работает замечательно... Ещё бы по больше фильмов вообще цены не было бы.,позитивная
6343,.,мусор
9282,"Видео не грузязятся, идёт бесконечная загрузка. Это продолжается 2 недели. С интернетом всё впорядке, ютюб летает на 1440p, однако рутуб ни в какую не грузится, будто дудосят.",негативная
13173,все и удобно,позитивная
21004,Много тратит трафика,негативная
19777,Прекрасное приложение 👍💕.,позитивная
18465,"Ребят вы молодцы, без сарказма, приложение стало удобнее и качественно ростëт на глазах. С паролем проблемы исправили, спасибо.)",позитивная
13492,Умные патриоты России,мусор
6688,поиск плохо работает,негативная
369,улучшить,негативная
2512,ОК,нейтральная
20195,👍👍👍,позитивная
14421,бесогон  ,мусор
11356,"То что, можно посмотреть много интересного, чего уже скорее всего не покажут тнт",позитивная
15671,нравится,позитивная
21865,Very good,мусор
24723,Молодцы! Приложение намного стало лучше!??,позитивная
9035,быстро.и хорошее  качество видео,позитивная
26485,"Очень увлекательное приложение, зашла за одним, в итоге провела в нем несколько часов😁 можно найти всё что угодно👌",позитивная
12383,Аналитические программы,нейтральная
2461,Скорость,мусор
16547,нет возможности обрезать видео ! ,негативная
12920,Очень долгая загрузка видео.,негативная
9940,Прежде всего удобство. Скорость слабая.,негативная
25787,Трансляция не работает для телевизора!,негативная
28372,Отличная платформа,позитивная
3699,все,мусор
1521,Good,мусор
20764,👍,позитивная
22149,"Разрабы да я имею ввиду скрыть видео при фоновом режиме, так легче слушать .",нейтральная
18121,"От IXBT привет! Будете так кошмарить каналы, вас закидают единицами и нафиг вы никому не нужны.",негативная
10699,1. Перемотка в начало стрима. 2. Изменение скорости просмотра стрима. 3. Лента рекомендаций на основе интереса зрителя.,негативная
678,Хорошо,позитивная
24319,"ЛЮДИ НЕВИДИТЕСЬ НА НИХ ОБРАТИТЕ ВНИМАНИЕ В ВАШИ ВИДЕО СРАЗУ ЖЕ ВШИВАЕТСЯ ИХ РЕКЛАМА, НО В МОНЕТИЗАЦИИ ОНИ ОТКАЗЫВАЮТ ТАК КАК КОНТЕНТ НЕ АВТОРСКИЙ И ПРОЧАЯ ЧУШЬ, НО ПОЧЕМУ ТО RUTUBE НЕКАСАЮТСЯ НАРУШЕНИЯ АВТОРСКИХ ПРАВ, ПРОСТО БЕРУТ И ДЕЛАЮТ ДЕНЬГИ НА ВАС",негативная
24872,Полная замена ютуба.,позитивная
25374,"Ни одно видео не получилось досмотреть до конца, то оно просто не грузится, то оно виснет каждую минуту. За год мучений рутуб так и не стал качественным видеохостингом. Это полный провал.",негативная
12575,То что он (rutube) есть. Как альтернатива youtube. Ресурс надо развивать.,нейтральная
6526,Нет выпусков ,негативная
13319,Я не поняла последнию задачу она не правильная какпуто,мусор
7102,"поиск
",мусор
13603,Россия всегда всем помогает! Россия-- лучшая страна. Наш президент самый лучший!!!,мусор
24521,дно.хуже приложения нет во всей вселенной.,негативная
10298,Скорость качества и чтобы видео не останавливалось,негативная
26964,"Отличное приложение, просмотр удобен, функционала и контента достаточно",позитивная
4861,Спасибо за оперативность!,позитивная
29006,"Подтормаживает загрузка и при перемотках бывает пропадает видео - звук идёт без видео.
При переворачивании экрана всё жутко тормозит. Для сравнения - YouTube, там всё плавно.",негативная
26592,"Не могу войти в аккаунт на телевизоре. В приложении на смарт-тв отображается код, который требуется ввести в мобильном приложении в разделе ""подключенные устройства"". Раздел ""подключенные устройства"" ОТСУТСВУЕТ В МОБИЛЬНОМ ПРИЛОЖЕНИИ!!!! 😤 Бесит. Спасибо девушке, оставившей предыдущий отзыв, зашла через браузер, но это был тот ещё квест найти этот нужный раздел. в общем, разработчики уважаемые/продакты и кто там ещё отвечает за приложение - с приложением пока что неприятно взаимодействовать",негативная
15364,авторизация,мусор
17990,"А почему вы удаляете видео про сталкер 2? Вы уж выберите сторону, если вы РУтьюб, то верните видео и увольте виноватых, или вы просто труба",негативная
1455,Норм,нейтральная
4710,СУПЕР,позитивная
16989,"Большой выбор фильмов, различных программ.",позитивная
26402,"Прекрасное приложение, мне очень понравился интерфейс.",позитивная
28385,"С нетерпением жду, когда починят раздел комментариев. Ещё было бы неплохо дать возможность растянуть видео до полей экрана. 
За возможность фонового просмотра отдельное спасибо:)",нейтральная
3016,Все,мусор
1686,Быстрота регистрации,позитивная
22502,"Кошмар! Неужели так трудно взять и скопировать ютюб?! Нет кнопки вывода на телевизор, если нашел первую серию сериала, то следующую сразу не выдает, надо ее искать и т.д. и т.п.",негативная
22204,В принципе всё норм но пожалуй сделайте отдельное приложение чтоб можно было настроить видео,нейтральная
14049,😉,позитивная
2911,Всё,мусор
5820,Нету нужного видео,негативная
23841,хотелось бы пользоваться приложением но оно постоянно подвисает и вылетает и не запоминает просмотренное,негативная
5263,"Убрать рекламу
",негативная
8244,Норм,нейтральная
2167,все отлично,позитивная
24420,"Войти в свой аккаунт невозможно! Коды из писем неподходят,как это вообще?!",негативная
24299,"Ютуб ваш рекламодатель) из за блокировки Артемия Лебедева, придётся воспользоваться вашим ресурсом, надеюсь не подведёт)",нейтральная
8741,"Скорость поиска!!!!

",нейтральная
11124,авто выход из аккаунта из смарт тв,нейтральная
17495,"Конченое. Пока присылают пароль на почту, срок пароля уже не актуален. Впустую 5 попыток и полчаса жизни.",негативная
8116,"не нашлось, то что нужно",негативная
16585,Спасибо вам что вы есть,позитивная
20267,"Недостатков море, и, видимо, проект сдан и закрыт. Ну например: голосовой поиск - опытному программисту пара дней работы - годами не могут сделать.",негативная
21473,Бесконечная реклама,негативная
15868,Было бы не плохо в таблице указать какое именно видео сколько раз просмотрено. Спасибо.,нейтральная
19808,"Я так и не смогла найти, где читать и куда писать комментарии во время трансляции? 🤦‍♀️",негативная
3329,Быстрота,позитивная
9351,Не сохраняет просмотренные видео ,негативная
4460,Скорость,мусор
20036,Задолбал выкидывать из профиля.,негативная
28328,"Я включаю видео, крутится кружочек ожидания, и ничего не играет. Ни через мобильный интернет, ни через вай-фай. Ни на планшете, ни на телефоне! Грустно",негативная
13470,Всё ,мусор
729,Класс,позитивная
13463,Бддбджддээээ́щщщ,мусор
19551,"Заработала загрузка видео с смартфона, но есть вопрос? Вы пол города не можете сделать прямую трансляцию с телефона это как? Ребята, большинство блогеров не ходят по улицам с ноутбуком 😁 Когда????",нейтральная
19439,"Приложение неплохое, очень нравится фоновый режим, но постоянно зависает, особенно в прямой трансляции. Не нашла где можно очистить историю. И хотелось бы, чтобы была функция удаления конкретного видео из истории, как на Ютуб",нейтральная
25685,Rutube не открывается. Почините. Пишет нет соединения. Хотя оно есть.,негативная
26831,Отлично. Конечно много недоработок. Но желаю вам успеха! Сделайте чтобы можно было вставлять музыку в видео! И тогда вы будете лучшие в России!,позитивная
10442,"Не знаю.. просто чаще пользуюсь ютубом, там больше инфы",нейтральная
22018,"Очень хорошие приложение, всем рекомендую. Удобно смотреть видео и трансляции..",позитивная
1446,Все ок!,нейтральная
22706,"Ребята, сделайте один в один аналог Ютуб, зачем изобретать велосипед, чтобы не нужно было бы привыкать к навигации и ориентироваться по новой!",негативная
2812,Все отлично,позитивная
8573,Всё ,мусор
5721,"Да все нужно улучшить. Я ищу цитаты о цветах и что вижу в поиске. Лучшие цитаты про семью, 20 лучших цитат Жка Фреско, Пугачева заберет детей, Музлофт подкаст и так далее... Цитаты о цветах я не нешел хотя они есть на нашем канале. ",негативная
18005,"По первому писку левых людей моментально удаляют ролики даже с секундным упоминанием одной повальной игры из одной соседней страны, которая даже уже не выйдет",негативная
19968,"""Реакции"" и ""В топ"" не синхронизируются между браузерной версией Рутуба и приложением. Не удобная перемотка видео с помощью ползунка, так как надо браться именно за точку эту, а просто тыкнуть в нужное место, чтобы перемотать не работает. Но зато удобно, что скорость воспроизведения сохраняется; и удобно видео выносится в окошко при сворачивании Рутуба.",негативная
11859,"Стиль платформы, оформление, поддержка контента федеральными каналами",нейтральная
11012,Оптимизацию ,мусор
24961,"Здравствуйте,то и дело приложение само выходит из моего аккаунта. Исправьте. Сделайте так,чтобы можно было бы зайти и оно само не вхыодило. Заранее спасибо",негативная
6663,Вы обосрали все своей рекламой,негативная
14414,отлично,позитивная
24150,"Что можно сказать о приложении, где даже адрес электронной почты ввести не дает. А еще видео должно проигрывать.",негативная
4779,Вау,позитивная
11953,Плиз только без рекламы,нейтральная
8187,голосовой поиск,нейтральная
14985,"не могу найти то, что хочется.",негативная
9032,"Одно плохо мало контента, который есть на youtube. Имеется в ввиду всякие обучающие ролики",негативная
13473,Я ВСЕГДА СМОТРЮ БИТВУ СИЛЬНЕЙШИХ,мусор
14234,😍,позитивная
15413,"не могу найти, то что сморю всегда. ",негативная
22982,?,мусор
28289,"Прежде чем перегонять трафик туда, сделайте норм приложение",негативная
6432,интерфейс. сделать как на ютубе,негативная
11187,больше новых фильмов и сериалов,негативная
1748,скорость,мусор
23163,Фу,негативная
24797,"Ужасное и платное приложение, ютуб в 1000000000% раз круче этого убожества, даже не думайте это скачивать.",негативная
15813,Аналитика канала и информация на главной страницы. Подробно все. Спасибо Вам!,позитивная
25777,Вообще не работает медленно,негативная
27057,"Приложения плохое!!, Питаюсь сделать свой канал потом мне показывают Код Нажимаю любую цифру например 3853 И мне показывают ""Неверный код"" три раза меняю код какой ещё правильный? ""Превышено количество попыток. Новый код можно запросить через 30 минут"" Я, Вообще не понимаю помогите пожалуйста мне зделать код.",негативная
7274,Поиск,мусор
12820,"Классно, что фильмы и сериалы в открытом доступе и хорошем качестве!",позитивная
13774,всё,мусор
22275,скачала чисто для того что бы смотреть экстрасенсы,нейтральная
13562,Круто,позитивная
22253,"Кто то из разработчиков хоть иногда заглядывает в приложение? Как вы себе представляете просмотр shots роликов, если после каждого( КАЖДОГО!!!!!!) загружается рекламный ролик , причем кэшируйте их, что ли, что ж они грузятся по минуте то у вас???? Тьфу на вас. Позорище 🤮🤮🤮",негативная
22891,Прикольное приложение,позитивная
34,ПУТИН ХУЙЛО,мусор
13507,"Очень крутой фильм чуть не заплакал
",позитивная
27699,Все супер,позитивная
5519,Не точный поиск,негативная
12204,Хороший контент,позитивная
4700,Спасибо за то что Вы есть ,позитивная
9377,Не правильный код пиешт,негативная
17380,"В приложении для SmartTV стал постоянно вылетать из аккаунта. Исправьте, пожплуйста.",негативная
24753,"Не показывает битву экстрасенсов 21 и 20 сезон. Пишет что в вашем регионе недоступно, или используется впн. Не у одной меня так. Все остальные сезоны работают, а эти нет. Исправьте пожалуйста, больше негде смотреть",негативная
4157,быстро,позитивная
9756,Всё ,мусор
6177,"всё

",мусор
22220,Благодарю приложение RuTube лучшее приложение что когда я либо видел очень круто YouTube г**** переходим в ruTube топ,позитивная
6951,Все,мусор
6043,все,мусор
13114,Модерация,мусор
12463,Всё супер ,позитивная
13272,да,мусор
2169,все отлично,позитивная
8078,Скорости,мусор
22822,"Теперь чтобы посмотреть фильм нужна подписка в 300р..дам совет Повернитесь к зеркалу, наклонитесь и вставьте себе своё изобретение. В ютубе лучше посмотрю",негативная
7432,Нет 21 сезона ,негативная
15986,"Здравствуйте, хорошо бы добавить приложение для отслеживания, ну или добавить в основное приложение",негативная
18442,"Ужасное приложение, особенно на тв. Постоянно вылетает из аккаунта, чтоб войти надо сто кругов с бубном сделать, сайт висит постоянно, просто кошмар. Контетн предлагается отстойный.",негативная
8887,Отлично!,позитивная
20155,Мне очень нравиться здесь можно все найти и посмотреть 🤣,позитивная
7837,Работает отлично,позитивная
11805,Всё ,мусор
1300,Ничего ,нейтральная
18546,"Браво! Вы справились с логином, который теперь не отваливается. С этого момента приложением можно пользоваться без мата. Теперь порадуйте нас и еще за полгодика осильте, пожалуйста, нормальную работу поисковой строки и может быть даже - фоновый режим) так победим. Сделайте что-нибудь с механизмом жалоб. Там 500 полей. Зачем? Вы ж и так видите от кого жалоба",нейтральная
24841,Здорово,позитивная
1472,Всё хорошо ,позитивная
1182,"Тесто получилось очень густым.
На 18 мин. дольше выпекала.",мусор
5090,предложку и поис видео,нейтральная
25563,Здравствуйте! Дорогие разработчики ваше приложени очень классное желаю вам удачи и спасибо за приложени Пока!,позитивная
370,Тупит ,негативная
25234,Ребят это же невозможно... Всё тупитэх,негативная
12778,Отлично,позитивная
24093,"Скажите пожалуйста, почему не вырезаются из видео ""что будет дальше""? Зачем мне спойлеры , если я увижу это в процессе просмотра видео сразу же после этого. Тоже самое относится к тв-приложению",негативная
10895,Хотелось бы конечно чтобы доработали немного сайт. Атак вроде нормально,нейтральная
24965,"Пытаюсь войти аккаунт, пишет что аккаунт с такой почтой уже есть и перекидывает на регистраци",негативная
28532,"Просто невменяемое соединение связи, удаляю!!!",негативная
16974,Отличное приложение Удобный интерфейс,позитивная
1718,простота регистрации,позитивная
3434,Быстрота,позитивная
10436,все,мусор
4511,лосев,мусор
3288,Gut!,мусор
3612,Быстро ,позитивная
17737,"Постоянно слетает авторизация((( на смартфоне и АТВ, зае..о",негативная
28830,"Интерфейс просто напросто неудобный,
очень часто вылетает, а еще чаще просит заново войти в аккаунт. ничего интересного и особенного, нет персональных подборок. Ни внутри, ни снаружи не проработано, ПЛОХО одним словом.",негативная
19712,Ребята все время зависает изображэние а звук продолжает как надо,негативная
406,"Сообщение вышло ""Упс, неправильная ссылка""",негативная
483,Ещё не знаю😊,нейтральная
8972,👍,позитивная
24641,"Скачала только ради тревел Батла на пятнице,НОООО из Казахстана нельзя посмотреть??‍♀️??‍♀️??‍♀️??‍♀️??‍♀️ Ну как бээээ????",негативная
14112,Ок,нейтральная
3093,Все,мусор
16503,Скорость загрузки.,нейтральная
21560,Нет возможности общаться в чате на стримах. Либо он засекречен? Невозможно общаться в комментариях с другими комментаторами.,негативная
2516,Скорость,мусор
7261,"Не могу найти то, что нужно . Лезет все подряд.",негативная
25099,А как в приложении на андроид посмотреть аналитику канала?,нейтральная
9723,Норм,нейтральная
16448,отлично,позитивная
6378,"мало материала
",негативная
12951,"комьюнити, его нет.",негативная
9893,"Хотелось бы , чтобыролике публиковались в порядке поступления на загрузку, а не  по факту модерации",негативная
23975,Очень хорошее приложение,позитивная
4159,простая регистрация,позитивная
8728,no pubblicita,мусор
9618,Почему своих устройств нет в приложении???,нейтральная
13363,Нет коментари,негативная
11836,Все,мусор
12431,контент,мусор
1468, Пропущу,мусор
20805,"Как мне надоело, что постоянно выкидывает из учётной записи!!! Два дня всё норм, а сегодня войдите в учётку! И так постоянно!",негативная
19655,"С каждым разлогином буду обновлять единицу. Ну задрало уже, сил нет!",негативная
26126,✨✨✨✨,мусор
2892,Быстрота и простота ,позитивная
16562,Периодически происходят сбои.,негативная
15603,Главные события дня освещаются отлично.,позитивная
4240,Лллл,мусор
7481,Поиск,мусор
14669,Вся программа,мусор
5722,Старая версия была удобнее,негативная
26721,Лучше ютуба,позитивная
26962,"Здравствуйте! Приложение не плохое! Но после обновления, на полном экране, картинка сдвигается вниз и на верху появляется маленькие иконки о телефоне, как при книжном положении. Исправьте пожалуйста",негативная
1382,Все хорошо.,позитивная
26671,"Скажите, вы пользуетесь приложением, господа разработчики? Если ползунок доходит почти до конца видео, его не невозможно передвинуть, потому что нет возможности его захватить, не говорю уже про экраны водопады- это нормально?",негативная
10872,Меньше рекламы... ,негативная
8360,отлично,позитивная
28235,"Все вроде бы нормально, но отсутствие расширения картинки по краям в наше время это стыд какой-то. На Ютубе уже увеличение до х10, а тут даже раздвинуть в полный экран без краев нельзя. Надеюсь прислушаются и исправят.",негативная
17175,"До Ютуба как до Африки, грузит просто ужас👎",негативная
20105,"Нет плейлиста ""смотреть позже"", приходится каждое видео запускать, а не подряд смотреть, нет веток комментариев, не запоминается просмотренное на ПК. Часто выкидывает из аккаунта (каждую неделю примерно) и надо заново выходить. Дополнение: из аккаунта до сих пор выкидывает, только теперь ещё и плашку добавили ""пришлось выйти из профиля, т.к. что-то сломалось"" и кнопка ""ну дела..."" вместо ""ок"", тоесть на эту плашку тупую время есть, прошел кстати месяц очередной, все решают почему выкидывает.",негативная
